Date,Fund Name,Partner,Source,Headline,URL,Summary
2026-03-18,grad Capital,,inc42.com,Why India’s Edtech Sector Looks Like A Two-Horse Race,https://inc42.com/features/why-indias-edtech-sector-looks-like-a-two-horse-race/,"India’s edtech sector is undergoing a quiet but decisive consolidation phase. Last week, Unacademy cofounder Gaurav Munjal announced on X&#8230;"
2026-03-18,OG Capital,,inc42.com,"Cabinet Clears ₹33,600 Cr BHAVYA Scheme To Boost Domestic Manufacturing",https://inc42.com/buzz/cabinet-clears-%e2%82%b933600-cr-bhavya-scheme-to-boost-domestic-manufacturing/,"The Union cabinet has approved a new scheme called Bharat Audyogik Vikas Yojna (BHAVYA) with a total outlay of ₹33,660&#8230;"
2026-03-18,pi Ventures,,inc42.com,Urban Company Shares Zoom 16% After SBI MF Picks Up Additional 4% Stake,https://inc42.com/buzz/urban-company-shares-zoom-16-after-sbi-mf-picks-up-additional-4-stake/,"Update &#124; March 18, 2026, 16:00 IST Shares of Urban Company ended Wednesday’s trading session up 10.33% at ₹121.20 apiece&#8230;"
2026-03-18,pi Ventures,,inc42.com,Aerchain Bags $13 Mn To Scale Agentic AI Platform For Enterprise Procurement,https://inc42.com/buzz/aerchain-bags-13-mn-to-scale-agentic-ai-platform-for-enterprise-procurement/,Enterprise AI startup Aerchain has raised $13 Mn (about ₹118 Cr) in its Series A round led by venture capital&#8230;
2026-03-18,Accel India,,inc42.com,Inc42 And Oracle Bring Together 25+ Tech Leaders To Discuss AI Infrastructure And Cloud Strategy,https://inc42.com/buzz/inc42-and-oracle-bring-together-25-tech-leaders-to-discuss-ai-infrastructure-and-cloud-strategy/,"As AI adoption accelerates across India’s startup ecosystem, technology leaders are shifting focus from experimentation to execution. The challenge, in&#8230;"
2026-03-18,Together Fund,,inc42.com,Inc42 And Oracle Bring Together 25+ Tech Leaders To Discuss AI Infrastructure And Cloud Strategy,https://inc42.com/buzz/inc42-and-oracle-bring-together-25-tech-leaders-to-discuss-ai-infrastructure-and-cloud-strategy/,"As AI adoption accelerates across India’s startup ecosystem, technology leaders are shifting focus from experimentation to execution. The challenge, in&#8230;"
2026-03-18,OG Capital,,inc42.com,Inc42 And Oracle Bring Together 25+ Tech Leaders To Discuss AI Infrastructure And Cloud Strategy,https://inc42.com/buzz/inc42-and-oracle-bring-together-25-tech-leaders-to-discuss-ai-infrastructure-and-cloud-strategy/,"As AI adoption accelerates across India’s startup ecosystem, technology leaders are shifting focus from experimentation to execution. The challenge, in&#8230;"
2026-03-18,Cloud Capital,,inc42.com,Inc42 And Oracle Bring Together 25+ Tech Leaders To Discuss AI Infrastructure And Cloud Strategy,https://inc42.com/buzz/inc42-and-oracle-bring-together-25-tech-leaders-to-discuss-ai-infrastructure-and-cloud-strategy/,"As AI adoption accelerates across India’s startup ecosystem, technology leaders are shifting focus from experimentation to execution. The challenge, in&#8230;"
2026-03-18,Cloud Capital,,inc42.com,"War Hits Data Centres, IG Defence Bags $5 Mn & More",https://inc42.com/buzz/war-hits-data-centres-ig-defence-bags-5-mn-more/,"The War Cloud Over Data Centres When we think about the casualties of modern warfare, data centres rarely come to&#8230;"
2026-03-17,Cloud Capital,,inc42.com,"War Hits Global Data Centres: Cloud Resilience, India’s Role In Focus",https://inc42.com/features/war-strikes-on-data-centres-cloud-resilience-india-role-in-focus/,"Earlier this month, amid the major conflict between the US-Israel combine and Iran in the Middle East, Amazon’s cloud services&#8230;"
2026-03-17,OG Capital,,inc42.com,"YuVerse Wants To Own The Last Mile Of Enterprise AI, One Model At A Time",https://inc42.com/startups/yuverse-wants-to-own-the-last-mile-of-enterprise-ai-one-model-at-a-time/,"For much of the journey of the AI industry, progress has meant better models, larger contexts, and faster inference. For&#8230;"
2026-03-17,Better Capital,,inc42.com,"YuVerse Wants To Own The Last Mile Of Enterprise AI, One Model At A Time",https://inc42.com/startups/yuverse-wants-to-own-the-last-mile-of-enterprise-ai-one-model-at-a-time/,"For much of the journey of the AI industry, progress has meant better models, larger contexts, and faster inference. For&#8230;"
2026-03-17,Venture Catalysts,,inc42.com,Venture Catalysts Clocks 9.6X Return On Pee Safe Exit After 9 Years,https://inc42.com/buzz/venture-catalysts-clocks-9-6x-return-on-pee-safe-exit-after-9-years/,Early stage investment firm Venture Catalysts took a full exit from hygiene and wellness startup Pee Safe during its $32&#8230;
2026-03-17,M Venture Partners,,inc42.com,Venture Catalysts Clocks 9.6X Return On Pee Safe Exit After 9 Years,https://inc42.com/buzz/venture-catalysts-clocks-9-6x-return-on-pee-safe-exit-after-9-years/,Early stage investment firm Venture Catalysts took a full exit from hygiene and wellness startup Pee Safe during its $32&#8230;
2026-03-17,pi Ventures,,inc42.com,Velmenni Bags $3.3 Mn To Scale Light-Based Wireless Communication Offerings,https://inc42.com/buzz/velmenni-bags-3-3-mn-to-scale-light-based-wireless-communication-offerings/,"Deeptech startup Velmenni has raised ₹30 Cr (about $3.3 Mn) in its pre-Series A funding round led by pi Ventures,&#8230;"
2026-03-16,Soonicorn,,inc42.com,RBI Fines Cashfree For Flouting Payment Aggregator Norms,https://inc42.com/buzz/rbi-fines-cashfree-for-flouting-payment-aggregator-norms/,The Reserve Bank of India (RBI) has imposed a penalty of ₹3.1 Lakh on fintech soonicorn Cashfree Payments for non-compliance&#8230;
2026-03-18,OG Capital,,yourstory.com,Healthcare platform CureBay acquires Saveo’s pharma distribution business to deepen rural reach,https://yourstory.com/2026/03/curebay-acquires-saveos-pharma-distribution-business-to-deepen-rural-reach,"The deal brings into CureBay a network that serves more than 10,000 retail pharmacies across southern India, along with distribution hubs in Bengaluru and Hyderabad, procurement systems, and a technol"
2026-03-18,pi Ventures,,yourstory.com,BlackSoil Capital raises Rs 200 Cr from Danish DFI Impact Fund,https://yourstory.com/2026/03/blacksoil-capital-raises-rs-200-cr-danish-dfi-impact-fund,"The funding is expected to help BlackSoil increase its exposure to renewable energy adoption, climate-smart agriculture, sustainable supply chains, and inclusive finance models."
2026-03-18,Transition VC,,yourstory.com,KKR to invest $310M in PMI Electro’s EV bus platform Allfleet,https://yourstory.com/2026/03/kkr-to-invest-310-million-in-pmi-electros-ev-bus-platform-allfleet,"The private equity firm will acquire a majority stake in Allfleet and a minority stake in PMI Electro, marking its first Global Climate Transition investment in India."
2026-03-18,pi Ventures,,yourstory.com,Burger Singh raises Rs 82 Cr in Series B funding to scale franchise platform,https://yourstory.com/2026/03/burger-singh-raises-rs-82-crore-series-b-funding-franchise-platform,"Burger Singh plans to use the fresh capital to build a scalable, franchise-first growth platform by upgrading the company's supply chain, technology, training systems, and operational infrastructure t"
2026-03-18,OG Capital,,yourstory.com,Burger Singh raises Rs 82 Cr in Series B funding to scale franchise platform,https://yourstory.com/2026/03/burger-singh-raises-rs-82-crore-series-b-funding-franchise-platform,"Burger Singh plans to use the fresh capital to build a scalable, franchise-first growth platform by upgrading the company's supply chain, technology, training systems, and operational infrastructure t"
2026-03-18,grad Capital,,yourstory.com,Burger Singh raises Rs 82 Cr in Series B funding to scale franchise platform,https://yourstory.com/2026/03/burger-singh-raises-rs-82-crore-series-b-funding-franchise-platform,"Burger Singh plans to use the fresh capital to build a scalable, franchise-first growth platform by upgrading the company's supply chain, technology, training systems, and operational infrastructure t"
2026-03-18,Pavestone Capital,,yourstory.com,Tech startup Aerchain raises $13M in Series A round led by Pavestone VC,https://yourstory.com/2026/03/tech-startup-aerchain-raises-series-a-round-led-by-pavestone-vc,"The Bengaluru-headquartered startup, which is focused on the procurement segment,  plans to use the funding for market expansion and to strengthen its AI capabilities."
2026-03-17,OG Capital,,yourstory.com,Indian commercial interiors startup Officebanao raises $7.7M,https://yourstory.com/2026/03/indian-commercial-interiors-startup-officebanao-raises-77-million,"The $7.7 million funding will be used to enhance Officebanao's proprietary technology platform by integrating AI and machine learning for automated design, predictive scheduling, and intelligent procu"
2026-03-18,pi Ventures,,yourstory.com,Optimo Capital secures Rs 100 Cr credit from Punjab National Bank,https://yourstory.com/2026/03/optimo-capital-secures-rs-100-cr-credit-from-punjab-national-bank,"Optimo Capital is focused on lending to MSMEs

Optimo Capital has also entered into a partnership with Godrej Finance to disburse Rs 200 crore over the next 12 months

Optimo Capital, a technology ena"
2026-03-18,OG Capital,,yourstory.com,Optimo Capital secures Rs 100 Cr credit from Punjab National Bank,https://yourstory.com/2026/03/optimo-capital-secures-rs-100-cr-credit-from-punjab-national-bank,"Optimo Capital is focused on lending to MSMEs

Optimo Capital has also entered into a partnership with Godrej Finance to disburse Rs 200 crore over the next 12 months

Optimo Capital, a technology ena"
2026-03-13,Lets Venture,,techcrunch.com,Truecaller now lets you hang up on scammers — on behalf of your family,https://techcrunch.com/2026/03/12/truecallers-now-lets-you-hang-up-on-scammers-on-behalf-of-your-family/,"Caller identity platform Truecaller recently launched a new feature that lets one person become an admin of a family group, get alerts about fraud calls received by other members, and even end a call"
2026-03-11,OG Capital,,techcrunch.com,Google brings Gemini in Chrome to India,https://techcrunch.com/2026/03/10/google-gemini-chrome-expands-to-india-canada-new-zealand/,"The rollout will let users access Gemini in Chrome through a sidebar on desktop, enabling them to ask Google's AI chatbot questions about the content on the screen; get information from their Gmail, K"
2026-02-25,She Capital,,techcrunch.com,India’s AI boom pushes firms to trade near-term revenue for users,https://techcrunch.com/2026/02/24/india-ai-boom-pushes-firms-to-trade-near-term-revenue-for-users/,ChatGPT and rivals are testing whether India's massive AI user boom can translate into paying customers as free offers wind down.
2026-02-17,pi Ventures,,techcrunch.com,India bids to attract over $200B in AI infrastructure investment by 2028,https://techcrunch.com/2026/02/17/india-bids-to-attract-over-200b-in-ai-infrastructure-investment-by-2028/,"India is ramping up shared AI compute, adding 20,000 GPUs as part of a broader push to attract global AI investment."
